Ticker,Last Price,Market Cap,PE Ratio,EPS,Revenue,Net Income,Dividend Yield,52 Week High,52 Week Low,Beta,Volume,Average Volume,Sector,Industry
NEE,69.94999694824219,143889235968.0,20.756676,3.37,24753000000.0,6946000000.0,3.28,86.1,53.95,0.577,2349982.0,10447383.0,Utilities,Utilities - Regulated Electric
CSCO,64.45999908447266,256440565760.0,28.27193,2.28,53803000000.0,10320000000.0,2.53,66.5,44.5,0.827,3328666.0,19881759.0,Technology,Communication Equipment
SLB,42.505001068115234,59543134208.0,13.667203,3.11,36289000000.0,4461000000.0,2.7,55.69,36.52,1.527,2537462.0,13031684.0,Energy,Oil & Gas Equipment & Services
MDT,87.5199966430664,112299851776.0,26.68009,3.28,32364000000.0,3676000000.0,3.22,93.08,75.96,0.857,1091473.0,6767450.0,Healthcare,Medical Devices
GDS,47.08000183105469,9098021888.0,,-3.0,9956501000.0,-4290053000.0,,52.5,5.85,0.114,6840198.0,1916062.0,Technology,Information Technology Services
NCLH,25.31999969482422,11133406208.0,22.210526,1.14,8549924000.0,166178000.0,,29.29,14.69,2.65,11998177.0,8516803.0,Consumer Cyclical,Travel Services
CVS,65.44000244140625,82506752000.0,17.879782,3.66,372809000000.0,4614000000.0,4.01,80.75,43.56,0.607,2152870.0,13527388.0,Healthcare,Healthcare Plans
COIN,252.8000030517578,64180613120.0,26.694826,9.47,6564028000.0,2579066000.0,,349.75,146.12,3.615,3045980.0,9812532.0,Financial Services,Financial Data & Stock Exchanges
DAL,63.312801361083984,40905543680.0,11.880863,5.33,61643000000.0,3457000000.0,0.92,69.98,37.29,1.361,2969751.0,7514069.0,Industrials,Airlines
HAL,27.149999618530273,23568697344.0,9.593639,2.83,22944000000.0,2501000000.0,2.54,41.56,25.16,1.906,2072380.0,10002564.0,Energy,Oil & Gas Equipment & Services
KMI,26.334999084472656,58515312640.0,22.508547,1.17,15100000000.0,2613000000.0,4.28,31.48,17.02,0.935,3546840.0,14189003.0,Energy,Oil & Gas Midstream
DELL,118.60990142822266,82754723840.0,20.992903,5.65,88425000000.0,3211000000.0,1.47,179.7,85.4,0.961,2347800.0,8618547.0,Technology,Computer Hardware
LUV,30.204999923706055,17901324288.0,39.74342,0.76,27483000000.0,465000000.0,2.38,36.12,23.58,1.137,1994915.0,7505671.0,Industrials,Airlines
